appid,game,country_code,country,collected_at,currency,price_local,is_free,on_sale,discount_pct,available
413150,Stardew Valley,de,Germany,2026-05-05T19:48:09.176857,EUR,13.99,False,False,0,True
413150,Stardew Valley,gb,United Kingdom,2026-05-05T19:48:11.649279,GBP,10.99,False,False,0,True
413150,Stardew Valley,jp,Japan,2026-05-05T19:48:13.655407,JPY,1480.0,False,False,0,True
413150,Stardew Valley,br,Brazil,2026-05-05T19:48:15.379525,BRL,24.99,False,False,0,True
413150,Stardew Valley,au,Australia,2026-05-05T19:48:17.168493,AUD,16.99,False,False,0,True
413150,Stardew Valley,tr,Turkey,2026-05-05T19:48:18.892746,USD,5.99,False,False,0,True
413150,Stardew Valley,in,India,2026-05-05T19:48:20.612408,INR,479.0,False,False,0,True
367520,Hollow Knight,us,United States,2026-05-05T19:48:22.533702,USD,14.99,False,False,0,True
367520,Hollow Knight,cn,China,2026-05-05T19:48:24.256833,CNY,58.0,False,False,0,True
367520,Hollow Knight,ru,Russia,2026-05-05T19:48:26.130734,RUB,550.0,False,False,0,True
367520,Hollow Knight,de,Germany,2026-05-05T19:48:28.409051,EUR,14.79,False,False,0,True
367520,Hollow Knight,gb,United Kingdom,2026-05-05T19:48:30.121795,GBP,12.79,False,False,0,True
367520,Hollow Knight,jp,Japan,2026-05-05T19:48:32.178369,JPY,1700.0,False,False,0,True
367520,Hollow Knight,br,Brazil,2026-05-05T19:48:34.124625,BRL,46.99,False,False,0,True
367520,Hollow Knight,au,Australia,2026-05-05T19:48:35.841717,AUD,21.95,False,False,0,True
367520,Hollow Knight,tr,Turkey,2026-05-05T19:48:37.560869,USD,5.99,False,False,0,True
367520,Hollow Knight,in,India,2026-05-05T19:48:39.382856,INR,690.0,False,False,0,True
945360,Among Us,us,United States,2026-05-05T19:48:41.119084,USD,4.99,False,False,0,True
945360,Among Us,cn,China,2026-05-05T19:48:42.875725,CNY,25.0,False,False,0,True
